Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,local_load_transactions,local_store_transactions,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,75340,1048576,128,16,8,1,16,1,1,0,1,8,138226279,207499213,2,224335945,138369445,0,0,95.5867,0,0,0,0.970973,99.9467,4664066048,0,4001366016,1073741824,2470445056,244318208,3145728,391053312,2.33607,0,1,3,0,14.6288,51883736,46791428,1024,0,64,0,21
directCoulombSum,69589,1048576,128,16,8,1,16,2,0,0,1,7,135667260,138357604,2,142562938,138372373,0,0,97.014,0,0,0,0.929286,99.9618,4664066048,0,1988100096,536870912,1195376640,244318208,3145728,271515648,2.52977,0,1,3,0,16.44,105380412,91625167,1024,0,64,0,18
directCoulombSum,69650,1048576,128,16,8,1,16,2,1,0,1,7,135965742,138349551,2,146759046,138380189,0,0,95.587,0,0,0,0.932516,99.9736,4664066048,0,2390753280,536870912,1396703232,244318208,3145728,290390016,2.54457,0,1,4,0,18.7129,108890021,90798734,1024,0,64,0,19
directCoulombSum,69865,1048576,128,16,8,1,16,4,0,0,1,9,135258044,207531691,2,213841374,138372481,0,0,97.0139,0,0,0,0.929089,99.9795,4664066048,0,1182793728,268435456,658505728,244318208,3145728,221184000,2.53959,0,1,5,0,18.7369,139082266,142392231,1024,0,64,0,23
directCoulombSum,69706,1048576,128,16,8,1,16,4,1,0,1,7,135375598,138365383,2,146762622,138372994,0,0,95.5869,0,0,0,0.927671,99.9689,4664066048,0,1585446912,268435456,859832320,244318208,3145728,240058368,2.53342,0,1,5,0,19.1862,140560544,139324382,1024,0,64,0,23
directCoulombSum,69237,1048576,128,16,8,1,16,8,0,0,1,7,134383916,138376873,2,142573730,138385349,0,0,97.0141,0,0,0,0.943158,99.9561,4664066048,0,780140544,134217728,658505728,244318208,3145728,204406784,2.54984,0,1,5,0,18.3651,135211722,151453710,1024,0,64,0,30
directCoulombSum,69076,1048576,128,16,8,1,16,8,1,0,1,7,134709679,138378325,2,146768674,138391385,0,0,95.5874,0,0,0,0.940881,99.952,4664066048,0,1182793728,134217728,859832320,244318208,3145728,223281152,2.54697,0,1,5,0,19.5862,132250080,146021666,1024,0,64,0,30
directCoulombSum,4752,524288,128,16,8,1,32,0,0,0,1,2,2241345,2097344,1,4194894,2097153,0,0,0,0,0,0,0.589676,99.8174,4462739456,0,254803968,33554432,67108864,122159104,1572864,154009600,35.4843,0,1,1,0,69.1292,0,0,1024,0,0,0,47
directCoulombSum,4613,524288,128,16,8,1,32,0,1,0,1,2,2245985,2097648,1,6292142,2097153,0,0,0,0,0,0,0.59526,99.734,4462739456,0,456130560,33554432,167772160,88604672,1572864,162398208,36.489,0,1,2,0,65.5968,0,0,1024,0,0,0,48
directCoulombSum,77600,524288,128,16,8,1,32,1,0,0,1,6,139395917,138386750,2,140486386,138392881,0,0,97.744,0,0,0,0.97212,99.9141,4496293888,0,3460300800,1073741824,2235564032,138936320,1572864,357072896,2.16526,0,1,2,0,14.3718,48512264,47625218,1024,0,128,0,18
