step,kernel_us,overhead_us,total_us,new_best
414,15456.1,32412.5,47868.6,0
415,15168.1,27522.2,42690.2,0
416,37817.6,28382.2,66199.7,0
417,37766.7,26994.6,64761.2,0
418,32002.6,33638.9,65641.5,0
419,19403.8,29922.7,49326.6,0
420,10326.9,31731.2,42058.2,0
421,14684,35389.8,50073.8,0
422,12230.3,28072.7,40303,0
423,11882.2,28592.2,40474.5,0
424,21594.7,27430.9,49025.6,0
425,17103.9,27276.5,44380.4,0
426,8284,33471.4,41755.4,1
427,9589.25,31970.4,41559.7,0
428,17806.2,27633.2,45439.4,0
429,12743.7,31569.3,44313,0
430,11974,30417.1,42391,0
431,16552.6,27612.9,44165.6,0
432,25974.9,32901.9,58876.8,0
433,18770.8,31155.4,49926.2,0
434,15966.4,30741.7,46708.2,0
435,16684.1,29846.8,46530.9,0
436,22013.5,30722.3,52735.8,0
437,10094.3,31836.5,41930.8,0
438,11655.2,28708.2,40363.4,0
439,46842.6,30114,76956.6,0
440,22042.9,32153.4,54196.3,0
441,12017.9,32121.4,44139.3,0
442,15334.8,30608.6,45943.4,0
443,13416.8,28850.7,42267.5,0
444,36884.8,31585.3,68470.1,0
445,17393,28826.2,46219.2,0
446,20983.4,31938.4,52921.8,0
447,21161.7,29816.6,50978.2,0
448,12787.2,30915.1,43702.3,0
449,23324.5,32070.8,55395.3,0
450,18160.5,27110.5,45271,0
451,19870.1,30076.3,49946.4,0
452,20014.8,29217.7,49232.5,0
453,24008,27604.2,51612.3,0
454,15404.2,28479.2,43883.4,0
455,17424.3,29249.8,46674,0
456,19068.6,30453.5,49522,0
457,22616.8,29184.6,51801.4,0
458,24905.2,30783.7,55688.8,0
459,23731.9,27793.2,51525.2,0
460,8508.38,32169.2,40677.5,0
461,10228.2,30079.8,40308,0
462,9972.26,32450.8,42423.1,0
463,21045,29441.8,50486.8,0
464,21931.8,30899.3,52831.1,0
465,35098.9,30004.2,65103.1,0
466,10765.5,32891.2,43656.7,0
467,12574.9,32071.4,44646.3,0
468,19955.1,31375.8,51330.9,0
469,17003.8,30494.8,47498.6,0
470,12209.4,30457.5,42667,0
471,26448.2,35637.2,62085.4,0
472,22282.3,31020.7,53303,0
473,13806.1,28977.1,42783.2,0
474,16671.9,26969.9,43641.8,0
475,18040.3,29623.1,47663.4,0
