Kernel name,Computation duration (us),Global size,Local size,TBX,TBY,LOCAL,WPTX,WPTY,VECTOR,UNROLL_FACTOR,PADDING,TBX_XL,TBY_XL,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
conv,7873,2097152,64,8,8,1,1,2,1,1,1,8,8,6,12991071,15204352,2,20844082,15204353,0,0,80.6372,18.317,9109504,1769477,3768691,7287312,0.489434,99.9752,205520896,0,792723456,104857600,389283840,257949696,0,57278464,1.51073,0,1,4,0,21.1608,1024,1320,224,0,32
conv,2835,2097152,64,8,8,1,1,2,1,7,0,8,8,1,667753,524288,1,6455686,524289,0,0,0,23.035,7340032,1310720,0,0,0.487984,99.9175,205520896,0,115343360,2097152,244580352,20971520,0,20119552,4.24436,0,1,7,0,21.1683,1024,1232,0,0,32
conv,3160,2097152,64,8,8,1,1,2,1,7,1,8,8,1,675577,524288,1,6455654,524289,0,0,0,18.317,9109504,1769472,0,0,0.486271,99.9493,205520896,0,115343360,2097152,244580352,20971520,0,20119552,3.84931,0,1,7,0,21.1952,1024,1320,0,0,32
conv,5370,1048576,64,8,8,1,1,4,1,1,0,8,8,6,9471068,9699488,2,17986110,9699213,0,0,82.1895,36.939,2293768,1179722,4053087,4076494,0.487218,99.9311,205520896,0,433750016,52428800,298450944,184549376,0,39583744,2.247,0,1,4,0,23.7252,1024,2128,280,0,32
conv,5209,1048576,64,8,8,1,1,4,1,1,1,8,8,7,9273260,9699288,2,17964834,9699377,0,0,82.1686,21.7532,4587520,1310788,4052001,4119033,0.488637,99.9062,205520896,0,433750016,52428800,298450944,184549376,0,39583744,2.31714,0,1,5,0,25.4707,1024,2280,280,0,32
conv,1665,1048576,64,8,8,1,1,4,1,7,0,8,8,2,615319,524288,1,4407766,524289,0,0,0,36.9399,2293760,1179648,0,0,0.491036,99.8537,205520896,0,98566144,1048576,146407424,10485760,0,16220160,7.44474,0,1,7,0,25.6423,1024,2128,0,0,32
conv,1933,1048576,64,8,8,1,1,4,1,7,1,8,8,1,606793,524288,1,4407778,524289,0,0,0,21.7535,4587520,1310720,0,0,0.490007,99.907,205520896,0,98566144,1048576,146407424,10485760,0,16220160,6.32271,0,1,7,0,24.8159,1024,2280,0,0,32
conv,4198,524288,64,8,8,1,1,8,1,1,0,8,8,6,6940008,6947032,2,11924158,6946917,0,0,79.2936,19.4027,3211264,1572885,2344741,2856521,0.367919,99.9425,205520896,0,261095424,26214400,193265664,197722112,0,30801920,2.89787,0,1,4,0,22.702,1024,3920,392,0,32
conv,4004,524288,64,8,8,1,1,8,1,1,1,8,8,6,6740261,6946752,2,11878994,6946833,0,0,79.242,33.3272,1605632,1179649,2297686,2768537,0.336948,99.9124,205520896,0,261095424,26214400,193265664,197722112,0,30801920,2.97956,0,1,4,0,21.8625,1024,4200,392,0,32
conv,1513,524288,64,8,8,1,1,8,1,7,0,8,8,2,716563,524288,1,3384154,524289,0,0,0,19.4028,3211264,1572881,0,0,0.369188,99.8701,205520896,0,88948736,524288,97320960,5439488,0,15515648,8.00953,0,1,7,0,28.7568,1024,3920,0,0,32
