Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,12649,33554432,128,1,0,0,0,8,16,8,32,1,3,8539666,8603468,1,8395163,16777217,0,0,0,0,0,0,0,0,0.919064,99.9869,33554432,0,1174536064,33554432,134217728,402653184,67108864,75497472,0,0,1,7,0,29.2129,1024,0,0,0,26
mtran,27428,16777216,128,1,0,0,0,8,16,8,64,0,2,8687018,11955351,1,8393083,16777217,0,0,0,0,0,0,0,0,0.908595,99.993,0,0,587202560,16777216,134217728,251658240,0,34078720,0,0,1,9,0,24.4782,1024,0,0,0,26
mtran,13898,16777216,128,1,0,0,0,8,16,8,64,1,3,8552110,8724442,1,8394975,16777217,0,0,0,0,0,0,0,0,0.934088,99.9878,16777216,0,738328448,16777216,134217728,268435456,33554432,42467328,0,0,1,8,0,23.6471,1024,0,0,0,26
mtran,10690,67108864,256,1,0,0,0,8,32,8,32,0,3,8527738,8967205,1,8398771,16777217,0,0,0,0,0,0,0,0,0.818057,99.9805,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,8,0,24.9317,1024,0,0,0,6
mtran,10115,67108864,256,1,0,0,0,8,32,8,32,1,3,8396976,8445509,1,8396247,16777217,0,0,0,0,0,0,0,0,0.870136,99.9821,67108864,0,1141112576,67108864,134217728,469762048,134217728,69206016,0,0,1,6,0,29.5989,1024,0,0,0,6
mtran,11597,33554432,256,1,0,0,0,8,32,8,64,0,3,8687334,8762872,1,8397771,16777217,0,0,0,0,0,0,0,0,0.875836,99.9867,0,0,872415232,33554432,134217728,369098752,0,58720256,0,0,1,8,0,28.1528,1024,0,0,0,26
mtran,10413,33554432,256,1,0,0,0,8,32,8,64,1,3,8528830,8577075,1,8396891,16777217,0,0,0,0,0,0,0,0,0.902697,99.9812,33554432,0,1174667008,33554432,134217728,402653184,67108864,75497472,0,0,1,6,0,28.596,1024,0,0,0,26
mtran,7105,67108864,512,1,0,0,0,8,64,8,64,0,4,8434408,8464044,2,8402811,16777217,0,0,0,0,0,0,0,0,0.790596,99.948,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,6,0,23.8252,1024,0,0,0,6
mtran,9582,67108864,512,1,0,0,0,8,64,8,64,1,3,8398708,8825369,1,8397115,16777217,0,0,0,0,0,0,0,0,0.818177,99.9809,67108864,0,1141374464,67108864,134217728,469762048,134217728,69206016,0,0,1,5,0,27.8724,1024,0,0,0,6
mtran,67699,67108864,32,1,0,0,0,16,2,16,2,0,2,9575924,33554432,1,8391355,33554433,0,0,0,0,0,0,0,0,0.244318,99.9944,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,3,0,6.57362,1024,0,0,0,6
mtran,38153,67108864,32,1,0,0,0,16,2,16,2,1,2,9277018,33548448,1,8391867,33554437,0,0,0,0,0,0,0,0,0.23989,99.9949,67108864,0,1140867040,67108864,134217728,469762048,134217728,69206016,0,0,1,2,0,7.53004,1024,0,0,0,6
mtran,68879,33554432,32,1,0,0,0,16,2,16,4,0,2,9575964,33549043,1,8391623,33554433,0,0,0,0,0,0,0,0,0.247213,99.9966,0,0,905969664,33554432,134217728,335544320,0,58720256,0,0,1,3,0,7.05618,1024,0,0,0,26
mtran,27923,33554432,32,1,0,0,0,16,2,16,4,1,2,8974968,23232268,1,8392455,33554449,0,0,0,0,0,0,0,0,0.243078,99.9935,33554432,0,1207975904,33554432,134217728,369098752,67108864,75497472,0,0,1,2,0,9.97441,1024,0,0,0,26
mtran,69515,16777216,32,1,0,0,0,16,2,16,8,0,2,9588656,33530050,1,8391463,33554433,0,0,0,0,0,0,0,0,0.248604,99.9967,0,0,603979776,16777216,134217728,234881024,0,34078720,0,0,1,3,0,6.51068,1024,0,0,0,26
mtran,27075,16777216,32,1,0,0,0,16,2,16,8,1,2,8686842,22383935,1,8393091,33554441,0,0,1.90735E-05,0,0,0,0,0,0.246418,99.9918,16777216,0,754991072,16777216,134217728,251658240,33554432,42467328,0,0,1,2,0,7.69805,1024,0,0,0,26
mtran,68851,8388608,32,1,0,0,0,16,2,16,16,0,2,9576028,33513012,1,8391589,33554433,0,0,0,0,0,0,0,0,0.249275,99.9969,0,0,377487360,8388608,134217728,117440512,0,21233664,0,0,1,3,0,6.50573,1024,0,0,0,24
mtran,31326,8388608,32,1,0,0,0,16,2,16,16,1,2,8983212,26456170,1,8393151,33554433,0,0,0,0,0,0,0,0,0.248439,99.9949,8388608,0,453001184,8388608,134217728,125829120,16777216,25427968,0,0,1,2,0,5.89101,1024,0,0,0,24
mtran,68574,4194304,32,1,0,0,0,16,2,16,32,0,2,9576052,33492336,1,8391507,33554433,0,0,0,0,0,0,0,0,0.249602,99.9933,0,0,268435456,4194304,134217728,62914560,0,15466496,0,0,1,3,0,6.39157,1024,0,0,0,26
mtran,32089,4194304,32,1,0,0,0,16,2,16,32,1,2,8983324,26284351,1,8393631,33554433,0,0,0,0,0,0,0,0,0.249189,99.9915,4194304,0,306200544,4194304,134217728,67108864,8388608,17563648,0,0,1,2,0,5.23323,1024,0,0,0,26
mtran,65522,2097152,32,1,0,0,0,16,2,16,64,0,2,9575992,33063413,1,8391819,33554433,0,0,0,0,0,0,0,0,0.249716,99.9916,0,0,220200960,4194304,134217728,35651584,0,12713984,0,0,1,2,0,4.96572,1024,0,0,0,24
mtran,28291,2097152,32,1,0,0,0,16,2,16,64,1,2,8983552,23753960,1,8393671,33554433,0,0,0,0,0,0,0,0,0.249452,99.9877,2097152,0,239091680,4194304,134217728,37748736,4194304,13762560,0,0,1,2,0,5.20711,1024,0,0,0,24
mtran,53792,67108864,64,1,0,0,0,16,4,16,4,0,2,9279526,25306900,1,8391683,33554433,0,0,0,0,0,0,0,0,0.448868,99.9939,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,7,0,18.566,1024,0,0,0,6
mtran,24888,67108864,64,1,0,0,0,16,4,16,4,1,2,8834886,20664864,1,8392623,33554433,0,0,0,0,0,0,0,0,0.413754,99.9914,67108864,0,1140883392,67108864,134217728,469762048,134217728,69206016,0,0,1,4,0,15.9203,1024,0,0,0,6
mtran,57925,33554432,64,1,0,0,0,16,4,16,8,0,2,9427710,27158543,1,8391527,33554433,0,0,0,0,0,0,0,0,0.465059,99.9954,0,0,872415232,33554432,134217728,369098752,0,58720256,0,0,1,8,0,20.094,1024,0,0,0,26
mtran,20960,33554432,64,1,0,0,0,16,4,16,8,1,2,8968096,16155384,1,8393147,33554433,0,0,0,0,0,0,0,0,0.454842,99.9937,33554432,0,1174437824,33554432,134217728,402653184,67108864,75497472,0,0,1,5,0,17.5102,1024,0,0,0,26
mtran,59916,16777216,64,1,0,0,0,16,4,16,16,0,2,9427770,28549790,1,8391363,33554433,0,0,0,0,0,0,0,0,0.47502,99.9952,0,0,587202560,16777216,134217728,251658240,0,34078720,0,0,1,8,0,19.9242,1024,0,0,0,26
