Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,4140,67108864,128,1,0,0,0,8,16,8,16,0,6,8388980,8373103,2,8389300,33554441,1,8388608,0,0,0,0,0,0,0,0.906715,99.6505,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,1,9.88673,100,100,1024,0,0,0,7
mtran,7431,67108864,128,1,0,0,0,8,16,8,16,1,3,8388748,8372845,1,8389028,33554441,1,8388608,0,0,0,0,0,0,0,0.916411,98.4594,0,67108864,0,2483158912,67108864,134217728,402653184,134217728,109051904,0,2,0,0,0,1,1,1,1,12.2142,100,94.2345,1024,0,0,0,9
mtran,3253,33554432,128,1,0,0,0,8,16,8,32,0,7,8388676,8359962,3,8388716,33554441,1,8388608,0,0,0,0,0,0,0,0.90299,99.9626,0,0,0,1241513984,167772160,134217728,268435456,0,74448896,0,2,0,0,0,0,1,1,1,18.6392,100,76.0563,1024,0,0,0,22
mtran,6264,33554432,128,1,0,0,0,8,16,8,32,1,4,8388724,8370308,2,8388916,33554441,1,8388608,0,0,0,0,0,0,0,0.896161,99.907,0,33554432,0,2013396864,167772160,134217728,301989888,67108864,105906176,0,2,0,0,0,1,1,1,1,13.9245,100,80.2019,1024,0,0,0,22
mtran,3576,16777216,128,1,0,0,0,8,16,8,64,0,6,8388676,8359973,2,8388868,33554441,1,8388608,0,0,0,0,0,0,0,0.938878,101.65,0,0,0,587202560,117440512,134217728,134217728,0,31457280,0,1,0,0,0,0,1,1,1,6.94588,100,96.6667,1024,0,0,0,22
mtran,6282,16777216,128,1,0,0,0,8,16,8,64,1,4,8388836,8370799,2,8389460,33554441,1,8388608,0,0,0,0,0,0,0,0.957103,99.9697,0,16777216,0,973209472,117440512,134217728,150994944,33554432,47185920,0,1,0,0,0,1,1,1,1,6.05128,100,94.4531,1024,0,0,0,22
mtran,2902,67108864,256,1,0,0,0,8,32,8,32,0,8,8388692,8359978,3,8388732,33554441,1,8388608,0,0,0,0,0,0,0,0.817382,100.118,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,2,14.1826,100,100,1024,0,0,0,7
mtran,6264,67108864,256,1,0,0,0,8,32,8,32,1,4,8388732,8369723,2,8388924,33554441,1,8388608,0,0,0,0,0,0,0,0.818707,99.9363,0,67108864,0,2483289856,67108864,134217728,402653184,134217728,109051904,0,2,0,0,0,1,1,1,1,14.5134,100,94.2383,1024,0,0,0,9
mtran,3060,33554432,256,1,0,0,0,8,32,8,64,0,7,8388676,8359962,3,8388860,33554441,1,8388608,0,0,0,0,0,0,0,0.862965,99.8368,0,0,0,1241513984,167772160,134217728,268435456,0,74448896,0,2,0,0,0,0,1,1,1,19.859,100,76.0563,1024,0,0,0,22
mtran,6238,33554432,256,1,0,0,0,8,32,8,64,1,4,8388892,8373326,2,8388932,33554569,1,8388608,0,0,0,0,0,0,0,0.877039,100.02,0,33554432,0,2013527808,167772160,134217728,301989888,67108864,105906176,0,2,0,0,0,1,1,1,1,13.9729,100,80.2057,1024,0,0,0,22
mtran,3032,67108864,512,1,0,0,0,8,64,8,64,0,7,8388676,8359962,3,8388716,33554441,1,8388608,0,0,0,0,0,0,0,0.785238,99.4811,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,1,13.618,100,100,1024,0,0,0,7
mtran,6237,67108864,512,1,0,0,0,8,64,8,64,1,4,8389204,8373274,2,8389292,33554441,1,8388608,0,0,0,0,0,0,0,0.773087,99.9685,0,67108864,0,2483551744,67108864,134217728,402653184,134217728,109051904,0,2,0,0,0,1,1,1,1,14.5764,100,94.2458,1024,0,0,0,9
mtran,5584,67108864,32,1,0,0,0,16,2,16,2,0,4,8388676,9423521,3,8388868,67108873,1,8388608,0,0,0,0,0,0,0,0.448952,99.9759,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,1,7.32866,100,100,1024,0,0,0,7
mtran,7013,67108864,32,1,0,0,0,16,2,16,2,1,4,8388676,10579569,2,8388716,67108873,1,8388608,0,0,0,0,0,0,0,0.465372,94.4919,0,67108864,0,2483044320,67108864,134217728,402653184,134217728,109051904,0,2,0,0,0,1,1,1,1,12.9572,100,94.2312,1024,0,0,0,9
mtran,5624,33554432,32,1,0,0,0,16,2,16,4,0,4,8388676,8881897,3,8388716,67108873,1,8388608,0,0,0,0,0,0,0,0.481551,100.13,0,0,0,1241513984,167772160,134217728,268435456,0,74448896,0,1,0,0,0,0,1,1,1,10.7468,100,76.0563,1024,0,0,0,22
mtran,9078,33554432,32,1,0,0,0,16,2,16,4,1,3,8389052,11593952,2,8389220,67108873,1,8388608,0,0,0,0,0,0,0,0.488759,101.098,0,33554432,0,2013282272,167772160,134217728,301989888,67108864,105906176,0,1,0,0,0,1,1,1,1,9.60019,100,80.1985,1024,0,0,0,22
