Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,14070,16384,64,64,1,4,1,1,0,0,4,1,259458,16,1,8662658,16386,10,134232064,0,0,0,0,0,0,0,0.499947,99.9902,3758473216,0,207093760,16777216,268582912,169377792,0,138168320,5,28.1165,0,0,2,1,1,3,45.4006,100,99.9755,1024,0,0,0,64
nbody_kernel,8027,16384,64,64,1,4,1,1,1,0,1,1,32,0,1,2241384,16386,1,2111488,0,5,9.09091,16777216,524288,0,0,0.727924,99.9186,3758325760,0,461848576,67108864,302137344,33783808,0,144607232,9,49.473,0,0,3,1,2,1,86.3174,100,99.9087,1024,1024,0,0,40
nbody_kernel,6771,16384,64,64,1,4,1,1,1,0,2,1,0,16,1,2241248,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.580891,97.781,3758374912,0,231161856,33554432,285360128,17104896,0,135240192,10,58.4837,0,0,3,1,2,1,94.5121,100,99.9508,1024,2048,0,0,48
nbody_kernel,6404,16384,64,64,1,4,1,1,1,0,4,0,0,0,1,2111888,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.48852,99.885,3758473216,0,115818496,16777216,276971520,8929280,0,130564096,10,61.918,0,0,3,1,2,1,95.4848,100,99.9741,1024,4096,0,0,57
nbody_kernel,14068,16384,64,64,1,8,0,0,0,0,1,1,129732,8,1,8664474,16386,10,134234112,0,0,0,0,0,0,0,0.999858,99.9891,3758325760,0,159662080,33554432,268500992,138625024,0,136340480,5,28.1173,0,0,2,1,1,3,45.7009,100,99.9031,1024,0,0,0,32
nbody_kernel,6668,16384,64,64,1,8,0,0,1,0,1,1,259458,0,1,2373018,16386,1,2113536,0,6,9.09091,16777216,524288,0,0,0.593386,99.7431,3758325760,0,230965248,33554432,289472512,29573120,0,135816192,10,59.4934,0,0,3,1,2,1,94.8661,100,99.9027,1024,1024,0,0,46
nbody_kernel,14961,16384,64,64,1,8,0,1,0,0,1,1,129754,32,2,33698528,16386,10,134232064,0,0,0,0,0,0,0,0.686522,94.172,3758325760,0,424099840,33554432,1073889280,541294592,0,182355968,5,26.4332,0,0,2,1,1,10,54.1471,100,99.9276,1024,0,0,0,40
nbody_kernel,14504,16384,64,64,1,8,0,1,0,0,2,1,259458,0,1,17051146,16386,10,134232064,0,0,0,0,0,0,0,0.521099,97.7185,3758374912,0,212287488,16777216,537018368,354746368,0,152541696,5,27.2657,0,0,2,1,1,5,47.0696,100,99.9564,1024,0,0,0,54
nbody_kernel,14942,16384,64,64,1,8,0,1,0,0,4,1,150942,16,1,8575088,16386,10,134232064,0,0,0,0,0,0,0,0.415471,94.9457,3758473216,0,106430464,8388608,268582912,152600576,0,134236160,5,26.4652,0,0,2,1,1,3,44.2305,100,99.9748,896,0,0,0,68
nbody_kernel,6751,16384,64,64,1,8,0,1,1,0,1,0,0,0,1,2111512,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.591439,99.8365,3758325760,0,260521984,33554432,302137344,33783808,0,137267200,10,58.6951,0,0,3,1,2,1,95.1434,100,99.9038,1024,1024,0,0,47
nbody_kernel,6532,16384,64,64,1,8,0,1,1,0,2,1,259458,16,1,2370970,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.586351,96.8823,3758374912,0,130498560,16777216,285360128,17104896,0,131570176,10,60.4944,0,0,3,1,2,1,96.9339,100,99.9494,1024,2048,0,0,48
nbody_kernel,6172,16384,64,64,1,8,0,1,1,0,4,1,259458,0,1,2370970,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.491338,99.9309,3758473216,0,65486848,8388608,276971520,8929280,0,128729088,10,64.3133,0,0,3,1,2,1,96.2284,100,99.9737,1024,4096,0,0,57
nbody_kernel,14073,16384,64,64,1,8,1,0,0,0,1,1,259676,192,1,8664922,16386,10,134234112,0,0,0,0,0,0,0,0.999868,99.9896,3758325760,0,159662080,33554432,268500992,138625024,0,136340480,5,28.1174,0,0,2,1,1,3,45.7009,100,99.9031,1024,0,0,0,32
nbody_kernel,6869,16384,64,64,1,8,1,0,1,0,1,1,259458,0,1,2373018,16386,1,2113536,0,6,9.09091,16777216,524288,0,0,0.594065,96.7706,3758325760,0,230965248,33554432,289472512,29573120,0,135816192,10,57.6463,0,0,3,1,2,1,94.7444,100,99.9027,1024,1024,0,0,46
nbody_kernel,14525,16384,64,64,1,8,1,1,0,0,1,1,259644,150,2,33828698,16386,10,134232064,0,0,0,0,0,0,0,0.688012,96.9286,3758325760,0,424099840,33554432,1073889280,541294592,0,182355968,5,27.2241,0,0,2,1,1,10,54.1812,100,99.9276,1024,0,0,0,40
