Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,2552,16384,64,64,1,4,0,0,0,0,1,1,0,32,1,8405464,16395,10,134234112,0,0,0,0,0,0,0,0.507841,99.8899,0,3758325760,0,293879808,67108864,268500992,205750272,0,143681024,0,5,26.4503,0,0,2,1,1,3,45.9769,100,99.9081,1024,0,0,0,32
nbody_kernel,1269,16384,64,64,1,4,0,0,1,0,1,1,0,8,1,2113752,16395,1,2113536,0,5,9.09091,16777216,524288,0,0,0.504267,99.4607,0,3758325760,0,432291840,67108864,297861120,29589504,0,143418880,0,9,53.5594,0,0,3,1,2,1,91.8174,100,99.9079,1024,1024,0,0,40
nbody_kernel,2791,16384,64,64,1,4,0,1,0,0,1,1,344,392,2,33569208,16395,9,134232064,0,0,0,0,0,0,0,0.516366,98.8551,0,3758325760,0,826753024,67108864,1073889280,339968000,0,189696000,0,5,23.9312,0,0,2,1,1,9,50.0622,100,99.9304,1024,0,0,0,32
nbody_kernel,2543,16384,64,64,1,4,0,1,0,0,2,1,0,8,2,16791840,16395,10,134232064,0,0,0,0,0,0,0,0.508943,99.71,0,3758374912,0,413614080,33554432,537018368,203751424,0,154638848,0,5,26.5094,0,0,2,1,1,5,47.0659,100,99.957,1024,0,0,0,46
nbody_kernel,3104,16384,64,64,1,4,0,1,0,0,4,1,0,8,1,8402992,16395,9,134232064,0,0,0,0,0,0,0,0.460065,83.9635,0,3758473216,0,207093760,16777216,268582912,169394176,0,138168832,0,5,22.6705,0,0,2,1,1,3,43.5948,100,99.9755,1024,0,0,0,64
nbody_kernel,1318,16384,64,64,1,4,0,1,1,0,1,1,0,8,1,2111688,16395,1,2111488,0,5,9.09091,16777216,524288,0,0,0.503843,99.4932,0,3758325760,0,461848576,67108864,310525952,33783808,0,144869376,0,9,51.5545,0,0,3,1,2,1,91.9538,100,99.9088,1024,1024,0,0,38
nbody_kernel,1166,16384,64,64,1,4,0,1,1,0,2,1,0,8,1,2111592,16395,1,2111488,0,6,9.09091,16777216,524288,0,0,0.495982,99.5227,0,3758374912,0,231161856,33554432,289554432,17104896,0,135371264,0,10,58.3503,0,0,3,1,2,1,92.7488,100,99.9508,1024,2048,0,0,48
nbody_kernel,1279,16384,64,64,1,4,0,1,1,0,4,1,0,8,1,2111536,16395,1,2111488,0,5,9.09091,16777216,524288,0,0,0.431591,87.6407,0,3758473216,0,115818496,16777216,279068672,8929280,0,130629632,0,9,50.9855,0,0,3,1,2,1,89.6624,100,99.9741,1024,4096,0,0,57
nbody_kernel,2546,16384,64,64,1,4,1,0,0,0,1,1,0,428,1,8405208,16395,10,134234112,0,0,0,0,0,0,0,0.507819,99.7646,0,3758325760,0,293879808,67108864,268500992,205750272,0,143681024,0,5,26.4171,0,0,2,1,1,3,45.9769,100,99.9081,1024,0,0,0,32
nbody_kernel,1271,16384,64,64,1,4,1,0,1,0,1,1,0,8,1,2113584,16395,1,2113536,0,5,9.09091,16777216,524288,0,0,0.503638,99.7117,0,3758325760,0,432291840,67108864,297861120,29589504,0,143418880,0,9,53.6394,0,0,3,1,2,1,91.7235,100,99.9079,1024,1024,0,0,40
nbody_kernel,2828,16384,64,64,1,4,1,1,0,0,1,1,0,593,2,33568920,16443,9,134232064,0,0,0,0,0,0,0,0.514998,97.4618,0,3758325760,0,826753024,67108864,1073889280,339968000,0,189696000,0,5,23.8229,0,0,2,1,1,9,50.5482,100,99.9304,1024,0,0,0,32
nbody_kernel,2546,16384,64,64,1,4,1,1,0,0,2,1,0,8,2,16793096,16443,10,134232064,0,0,0,0,0,0,0,0.509038,99.7123,0,3758374912,0,413614080,33554432,537018368,203751424,0,154638848,0,5,26.5085,0,0,2,1,1,5,47.0631,100,99.957,1024,0,0,0,46
nbody_kernel,3100,16384,64,64,1,4,1,1,0,0,4,1,0,8,1,8403008,16395,8,134232064,0,0,0,0,0,0,0,0.467764,78.9711,0,3758473216,0,207093760,16777216,268582912,169394176,0,138168832,0,5,21.645,0,0,2,1,1,3,44.2541,100,99.9755,1024,0,0,0,64
nbody_kernel,1317,16384,64,64,1,4,1,1,1,0,1,1,0,8,1,2111552,16395,1,2111488,0,5,9.09091,16777216,524288,0,0,0.50323,99.6798,0,3758325760,0,461848576,67108864,310525952,33783808,0,144869376,0,9,51.6136,0,0,3,1,2,1,91.8869,100,99.9088,1024,1024,0,0,38
nbody_kernel,1166,16384,64,64,1,4,1,1,1,0,2,1,0,8,1,2111536,16395,1,2111488,0,6,9.09091,16777216,524288,0,0,0.495802,99.6397,0,3758374912,0,231161856,33554432,289554432,17104896,0,135371264,0,10,58.3908,0,0,3,1,2,1,92.7042,100,99.9508,1024,2048,0,0,48
nbody_kernel,1329,16384,64,64,1,4,1,1,1,0,4,1,64,8,1,2111816,16395,1,2111488,0,5,9.09091,16777216,524288,0,0,0.419709,90.3487,0,3758473216,0,115818496,16777216,279068672,8929280,0,130629632,0,9,51.0643,0,0,3,1,2,1,87.1096,100,99.9741,1024,4096,0,0,57
nbody_kernel,2541,16384,64,64,1,8,0,0,0,0,1,1,0,288,1,8405056,16395,10,134234112,0,0,0,0,0,0,0,0.50764,99.9371,0,3758325760,0,159662080,33554432,268500992,138641408,0,136340992,0,5,26.5288,0,0,2,1,1,3,43.1424,100,99.9031,1024,0,0,0,32
nbody_kernel,1194,16384,64,64,1,8,0,0,1,0,1,1,0,8,1,2113584,16395,1,2113536,0,6,9.09091,16777216,524288,0,0,0.496872,99.4338,0,3758325760,0,230965248,33554432,297861120,29589504,0,136078848,0,9,56.9113,0,0,3,1,2,1,92.821,100,99.9029,1024,1024,0,0,47
nbody_kernel,2773,16384,64,64,1,8,0,1,0,0,1,1,0,532,3,33569048,16395,9,134232064,0,0,0,0,0,0,0,0.507888,99.7292,0,3758325760,0,424099840,33554432,1073889280,507740160,0,181307392,0,4,24.2743,0,0,2,1,1,9,46.2787,100,99.9271,1024,0,0,0,40
nbody_kernel,2542,16384,64,64,1,8,0,1,0,0,2,1,0,8,2,16791600,16395,10,134232064,0,0,0,0,0,0,0,0.506948,99.7113,0,3758374912,0,212287488,16777216,537018368,337969152,0,152017408,0,5,26.5402,0,0,2,1,1,5,44.1628,100,99.9562,1024,0,0,0,54
