HW,Runs,Method,Overhead,Extra runtime (%) [Kristian],Extra runtime (%) [Jarda],"Diff (K - J), pp",Average extra runtime [Kristian],Extra runtime deviation [Kristian],Average GT TS [Kristian],GT TS deviation [Kristian],Average estimated TS [Kristian],Estimated TS deviation [Kristian],Average miss (tuning steps) [Kristian],Average extra runtime [Jarda],Extra runtime deviation [Jarda],Average GT TS [Jarda],GT TS deviation [Jarda],Average estimated TS [Jarda],Estimated TS deviation [Jarda],Average miss (tuning steps) [Jarda]
1070,1000000,0,1000000,9.44872952796595,9.43659924506022,0.0121302829057299,0.0944872952796595,0.0968055768944617,56.638,43.8240454088848,50.68,16.5976986356543,33.518,0.0943659924506022,0.0957116901793264,53.431,45.2549581703486,51.379,16.9937447020955,35.212
1070,1000000,0.5,100000,6.99825636097634,6.84497143146305,0.153284929513291,0.0699825636097634,0.0747912627187865,214.169,179.77315272031,210.462,108.861419042744,162.485,0.0684497143146305,0.0757526949180495,211.072,172.056063002732,201.903,92.0634867414872,151.641
1070,1000000,0.5,1000000,11.4797243355513,10.7512863405675,0.72843799498377,0.114797243355513,0.104170519211821,56.638,43.8240454088848,45.157,11.6168132893664,35.619,0.107512863405675,0.0976112770321339,56.514,45.1504131099595,44.677,9.87495169608439,36.091
1070,1000000,1,100000,33.0074879937806,32.9021530469465,0.105334946834041,0.330074879937806,0.231458605709905,214.169,179.77315272031,30.563,35.5929772708044,190.364,0.329021530469465,0.226960477549718,211.072,172.056063002732,26.251,21.6677179001389,187.777
1070,1000000,1,1000000,19.1824396421389,17.633302389647,1.54913725249188,0.191824396421389,0.178029601958548,56.638,43.8240454088848,20.955,9.42151659766091,41.981,0.17633302389647,0.168681985636258,53.888,45.0352468184643,20.299,8.15153967051624,39.959
OK1070,10000000,0,100,3.68514392141211,3.54697614390914,0.138167777502971,0.0368514392141211,0.0788976864794388,918.304,577.117032831297,1161.169,889.41540375631,877.651,0.0354697614390914,0.0785089583578082,974.136,572.601424643705,1221.165,883.329879362744,848.695
OK1070,10000000,0,1000,4.20457629602066,3.66437288876329,0.54020340725737,0.0420457629602066,0.0837396966990867,918.304,577.117032831297,1078.69,891.504777272674,867.294,0.0366437288876329,0.079079188731272,974.136,572.601424643705,1200.138,885.563956445835,850.214
1070,10000000,0,10000,4.39700264600623,4.15633575313538,0.24066689287085,0.0439700264600623,0.0827981560237671,913.132,576.038160694237,1026.712,884.692719002479,854.656,0.0415633575313538,0.0810392964065364,977.454,576.198762480448,1089.6,887.637816905071,863.47
1070,10000000,0,1000000,6.87664359555055,7.07034789829037,-0.19370430273982,0.0687664359555055,0.0967635751761406,214.794,180.711121860277,162.971,105.193270502442,141.107,0.0707034789829037,0.0970100770923119,205.315,166.422065168655,170.136,107.357223809113,131.183
OK1070,10000000,0.5,100,1.21249226226772,0.98934820378506,0.22314405848266,0.0121249226226772,0.0268155939886932,918.304,577.117032831297,1418.864,598.829350903912,813.418,0.0098934820378506,0.0210396447303963,974.136,572.601424643705,1427.637,588.720520477247,748.075
OK1070,10000000,0.5,1000,1.2324192081796,1.04179702241312,0.19062218576648,0.012324192081796,0.0267410395169809,918.304,577.117032831297,1415.862,598.494969866915,813.194,0.0104179702241312,0.0215578109114557,974.136,572.601424643705,1410.011,588.901017896047,738.471
1070,10000000,0.5,10000,1.38597988044919,1.28600219916062,0.0999776812885702,0.0138597988044919,0.0265474888068592,913.132,576.038160694237,1387.609,600.908755235768,799.365,0.0128600219916062,0.023344579867841,988.988,573.920480429127,1383.993,591.935382411797,744.279
1070,10000000,0.5,1000000,7.00527393190815,7.61035931543071,-0.605085383522561,0.0700527393190815,0.0747941371420232,214.794,180.711121860277,211.635,109.556970453732,163.501,0.0761035931543071,0.0839184837506353,205.315,166.422065168655,202.831,92.8641719879093,151.858
OK1070,10000000,1,100,41.8085771060283,39.4203995115465,2.38817759448174,0.418085771060283,0.263775936168072,918.304,577.117032831297,61.435,212.764869691874,872.787,0.394203995115465,0.2540333384169,986.008,591.362359248541,80.654,271.094360479889,952.484
OK1070,10000000,1,1000,41.7842978361963,39.4280216314428,2.35627620475351,0.417842978361963,0.26371987145029,918.304,577.117032831297,61.28,212.373641490652,872.942,0.394280216314428,0.253584287262698,986.008,591.362359248541,75.938,255.60195647921,949.148
1070,10000000,1,10000,41.6394305494001,38.6686706192754,2.97075993012473,0.416394305494001,0.262425962234428,913.132,576.038160694237,57.067,195.175506944391,869.225,0.386686706192754,0.251875434008061,971.158,584.504799840001,67.938,212.513228190624,926.6
1070,10000000,1,1000000,33.0700354420735,31.5606470888971,1.50938835317638,0.330700354420735,0.231614577073437,214.794,180.711121860277,30.616,35.7440420769672,190.976,0.315606470888971,0.217395373862928,204.078,170.627998628596,26.774,24.8379331668317,181.824
