Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,1867,65536,128,32,64,32,8,16,8,8,2,4,4,0,0,1,0,32,3,3170256,131072,1,6291890,131073,0,0,0,93.8751,4194304,552905,0,0,0.545812,98.2381,1073741824,0,309919744,2097152,142868480,13434880,0,48193536,33.9856,0,1,4,0,73.1151,1024,4096,0,0,55
gemm_fast,2893,65536,128,32,64,32,8,16,8,8,2,4,4,0,0,1,1,32,2,2688326,131072,2,10486214,131073,0,0,0,79.6297,8388608,3133530,0,0,0.24765,98.2462,1073741824,0,194576384,2097152,159645696,13434880,0,45113344,22.7774,0,1,5,0,39.1195,1024,12288,0,0,48
gemm_fast,5958,65536,128,32,64,32,8,16,8,16,2,1,1,0,0,0,0,32,2,3497834,298020,3,50331826,524289,0,0,0,0,0,0,0,0,0.695728,98.7534,1073741824,0,527433728,33554432,537919488,80281600,0,70473728,10.6684,0,1,6,0,36.7534,1024,0,0,0,40
gemm_fast,6188,65536,128,32,64,32,8,16,8,16,2,1,1,0,0,0,1,32,1,1648982,312219,3,50332142,524289,0,0,0,82.1936,4194304,1546524,0,0,0.365794,99.4153,1073741824,0,355663872,2097152,378535936,15335424,0,57047040,10.2117,0,1,4,0,28.2629,1024,8192,0,0,42
gemm_fast,3844,65536,128,32,64,32,8,16,8,16,2,1,1,0,0,1,0,32,2,2585782,281306,2,25166302,524289,0,0,0,85.688,4194357,1006427,0,0,0.601483,98.0563,1073741824,0,349372416,2097152,357564416,13238272,0,56129536,16.5809,0,1,6,0,39.8218,1024,4096,0,0,48
gemm_fast,4445,65536,128,32,64,32,8,16,8,16,2,1,1,0,0,1,1,32,2,2517092,330300,2,25166262,524289,0,0,0,75.1936,8388608,3813277,0,0,0.249302,98.2168,1073741824,0,215154688,2097152,198180864,15269888,0,47017984,14.3963,0,1,5,0,30.1702,1024,12288,0,0,48
gemm_fast,4886,65536,128,32,64,32,8,16,8,16,2,1,2,0,0,0,0,32,1,1803392,309439,3,41943282,524289,0,0,0,0,0,0,0,0,0.589977,99.6294,1073741824,0,443678720,8388608,403701760,38469632,0,61569024,12.9411,0,1,6,0,40.3358,1024,0,0,0,48
gemm_fast,5361,65536,128,32,64,32,8,16,8,16,2,1,2,0,0,0,1,32,1,1615966,302108,3,41943510,524289,0,0,0,84.0019,4194337,1422906,0,0,0.365521,98.7912,1073741824,0,357826560,2097152,361758720,19595264,0,56723456,11.9153,0,1,4,0,30.79,1024,8192,0,0,47
gemm_fast,2755,65536,128,32,64,32,8,16,8,16,2,1,2,0,0,1,0,32,2,1991352,272651,2,16777674,524289,0,0,0,82.9763,4194435,1176314,0,0,0.590393,98.4063,1073741824,0,349503488,2097152,223346688,13369344,0,51943424,22.8269,0,1,5,0,63.4633,1024,4096,0,0,48
gemm_fast,3397,65536,128,32,64,32,8,16,8,16,2,1,2,0,0,1,1,32,2,2312562,302614,2,16777686,524289,0,0,0,79.3676,8388608,3171576,0,0,0.248988,99.4206,1073741824,0,215285760,2097152,181403648,23789568,0,46764032,19.0342,0,1,5,0,36.5813,1024,12288,0,0,48
gemm_fast,4470,65536,128,32,64,32,8,16,8,16,2,1,4,0,0,0,0,32,1,1341208,303269,3,37748970,524289,0,0,0,0,0,0,0,0,0.586126,98.8646,1073741824,0,441647104,8388608,336592896,38469632,0,59408384,14.0143,0,1,5,0,40.1046,1024,0,0,0,42
gemm_fast,4588,65536,128,32,64,32,8,16,8,16,2,1,4,0,0,0,1,32,1,1615842,289173,3,37749230,524289,0,0,0,86.0401,4194304,1289876,0,0,0.366034,98.1329,1073741824,0,320077824,2097152,353370112,15400960,0,55150592,13.7726,0,1,5,0,38.3983,1024,8192,0,0,48
gemm_fast,2420,65536,128,32,64,32,8,16,8,16,2,1,4,0,0,1,0,32,3,3119670,210109,2,12583354,524289,0,0,0,87.3672,4194366,906458,0,0,0.546046,98.078,1073741824,0,313851904,2097152,156237824,13303808,0,48730112,26.3397,0,1,5,0,61.5279,1024,4096,0,0,55
gemm_fast,2892,65536,128,32,64,32,8,16,8,16,2,1,4,0,0,1,1,32,2,2353878,295054,2,12583382,524289,0,0,0,84.8142,8388608,2429205,0,0,0.249209,96.2322,1073741824,0,213188608,2097152,173015040,13303808,0,46108672,21.6336,0,1,5,0,48.3912,1024,12288,0,0,56
gemm_fast,3983,65536,128,32,64,32,8,16,8,16,2,2,1,0,0,0,0,32,1,1935538,184035,3,33554654,262145,0,0,0,0,0,0,0,0,0.586401,99.967,1073741824,0,477233152,8388608,403177472,38404096,0,62599168,15.9646,0,1,6,0,41.6815,1024,0,0,0,48
gemm_fast,4422,65536,128,32,64,32,8,16,8,16,2,2,1,0,0,0,1,32,1,2341410,180694,3,33554902,262145,0,0,0,73.0259,4195583,2265951,0,0,0.366134,98.643,1073741824,0,355794944,2097152,243793920,15400960,0,52842496,14.4768,0,1,5,0,44.9125,1024,8192,0,0,48
gemm_fast,3383,65536,128,32,64,32,8,16,8,16,2,2,1,0,0,1,0,32,2,2434128,175364,2,20971962,262145,0,0,0,89.6152,4194304,778568,0,0,0.600074,97.8058,1073741824,0,349569024,2097152,348651520,15466496,0,55926784,18.8021,0,1,5,0,40.3494,1024,4096,0,0,48
gemm_fast,3865,65536,128,32,64,32,8,16,8,16,2,2,1,0,0,1,1,32,2,2618814,184915,2,20971970,262145,0,0,0,78.7397,8388608,3263759,0,0,0.249132,98.0095,1073741824,0,213319680,2097152,189267968,17563648,0,46753792,16.76,0,1,5,0,39.7908,1024,12288,0,0,56
gemm_fast,2988,65536,128,32,64,32,8,16,8,16,2,2,2,0,0,0,0,32,1,1159296,184007,3,25166090,262145,0,0,0,0,0,0,0,0,0.582797,99.4335,1073741824,0,439615488,6291456,268959744,15400960,0,56444928,21.0281,0,1,5,0,58.2765,1024,0,0,0,48
